,master_id
1,00034aaa-a838-11e9-a2fc-000d3a38a36f
11,00263f1a-210a-11ea-b50a-000d3a38a36f
16,0033f078-7359-11ea-92d0-000d3a38a36f
34,006bb20e-a9a8-11e9-a2fc-000d3a38a36f
40,007cdfe4-1f54-11ea-87bf-000d3a38a36f
44,0082e79e-5b50-11ea-ba9b-000d3a38a36f
45,00842ccc-15ea-11ea-aa74-000d3a38a36f
46,00844650-a937-11e9-a2fc-000d3a38a36f
55,00a9f3a6-5318-11ea-acd3-000d3a38a36f
67,00e58b24-5b4b-11ea-ac70-000d3a38a36f
76,00f6c98e-abb5-11e9-a2fc-000d3a38a36f
78,00f7553c-5bbb-11ea-b88d-000d3a38a36f
92,0117c094-63e8-11ea-a6dc-000d3a38a36f
102,014dee3a-aae8-11e9-a2fc-000d3a38a36f
109,01588ec4-4680-11ea-b6c0-000d3a38a36f
114,0162aa7a-3f10-11ea-b794-000d3a38a36f
117,016cb6c8-a3e8-11e9-a2fc-000d3a38a36f
121,0174d3ce-9f0d-11e9-9897-000d3a38a36f
123,0175d8d8-1cf7-11ea-a490-000d3a38a36f
124,0179158a-aac8-11e9-a2fc-000d3a38a36f
127,017bd900-a97e-11e9-a2fc-000d3a38a36f
139,018b9230-aae3-11e9-a2fc-000d3a38a36f
140,018bc0ba-6ce5-11ea-b576-000d3a38a36f
143,019280fa-a87b-11e9-a2fc-000d3a38a36f
148,01976720-ae7d-11e9-a2fc-000d3a38a36f
151,01abd05c-b1f7-11e9-89fa-000d3a38a36f
160,01d402a6-bbc0-11ea-9a91-000d3a38a36f
161,01d4c0ba-b3bf-11e9-a043-000d3a38a36f
162,01d5156e-51f9-11ea-a243-000d3a38a36f
164,01defd1e-a582-11e9-a2fc-000d3a38a36f
174,01f3e57a-b3ba-11ea-8745-000d3a38a36f
175,01f87448-ac75-11e9-a2fc-000d3a38a36f
176,01fa53ea-fbd9-11e9-b138-000d3a38a36f
177,01fe2034-98ea-11ea-b97a-000d3a38a36f
182,020d943e-be28-11ea-aa61-000d3a38a36f
192,021d4cae-da25-11e9-93bc-000d3a38a36f
210,0259aaae-5b0e-11ea-86e3-000d3a38a36f
213,026f662a-c524-11ea-9dde-000d3a38a36f
232,02af4fd8-7362-11ea-92d0-000d3a38a36f
238,02bc6872-bebb-11ea-958c-000d3a38a36f
246,02d44576-a596-11e9-a2fc-000d3a38a36f
251,02d8ab7a-2c50-11ea-b752-000d3a38a36f
261,02f2627a-ac05-11e9-a2fc-000d3a38a36f
274,0323b1d6-e2ce-11e9-ad00-000d3a38a36f
277,03265212-6292-11ea-9861-000d3a38a36f
282,03464e90-8a4d-11ea-8ec0-000d3a38a36f
284,0350ce40-a58a-11e9-a2fc-000d3a38a36f
286,0358f300-6eb0-11ea-96d9-000d3a38a36f
289,03646a4a-a7d8-11e9-a2fc-000d3a38a36f
295,0367ceaa-d71d-11e9-93bc-000d3a38a36f
300,037544d8-7374-11ea-92d0-000d3a38a36f
309,03856c6c-61fb-11ea-8dd8-000d3a38a36f
315,039d5faa-23b3-11eb-9cdc-000d3a38a36f
322,03b81072-4be9-11ea-a626-000d3a38a36f
325,03bce9b4-2784-11ea-aaaa-000d3a38a36f
329,03be6bb2-1f60-11ea-87bf-000d3a38a36f
336,03d6c35e-116b-11ea-8872-000d3a38a36f
340,03e05dce-f19a-11e9-9346-000d3a38a36f
345,03eff814-7b84-11ea-80af-000d3a38a36f
352,0406e708-2b71-11ea-9d27-000d3a38a36f
365,0431764a-a3ed-11ea-9c18-000d3a38a36f
373,043f4822-b1ce-11e9-89fa-000d3a38a36f
374,043f4824-a5d3-11e9-a2fc-000d3a38a36f
379,0457c796-b046-11e9-9757-000d3a38a36f
381,0462c578-ec82-11ea-9369-000d3a38a36f
385,04704142-a7e3-11e9-a2fc-000d3a38a36f
388,047af6de-23ab-11ea-8523-000d3a38a36f
390,047ea688-bbd8-11ea-9a91-000d3a38a36f
395,048cea42-b083-11e9-9757-000d3a38a36f
401,049db85e-ad18-11e9-a2fc-000d3a38a36f
410,04c7f1f4-a3aa-11e9-a2fc-000d3a38a36f
412,04d3fc0a-ff2c-11e9-a5e8-000d3a38a36f
419,04ed6ad4-646f-11ea-a507-000d3a38a36f
422,04f27884-a3b9-11e9-a2fc-000d3a38a36f
423,04f39bf8-23aa-11ea-8523-000d3a38a36f
427,0500b06e-acf3-11e9-a2fc-000d3a38a36f
434,0515c070-9e6c-11e9-9897-000d3a38a36f
438,051b160c-b11c-11e9-9757-000d3a38a36f
439,0522dfa4-00a4-11ea-a5e8-000d3a38a36f
443,05284896-41c6-11ea-96d9-000d3a38a36f
445,05396bb6-a456-11e9-a2fc-000d3a38a36f
463,056e803c-a378-11e9-a2fc-000d3a38a36f
465,0574ac66-3c96-11ea-b550-000d3a38a36f
480,05a16592-4b75-11ea-a626-000d3a38a36f
492,05cb8ed2-a42f-11e9-a2fc-000d3a38a36f
495,05cfe26c-1841-11ea-9213-000d3a38a36f
509,05f83906-9707-11eb-8c2a-000d3a38a36f
513,05ff5f30-a256-11e9-a2fc-000d3a38a36f
514,06090ece-afd8-11e9-9757-000d3a38a36f
518,062e21a4-9dc8-11e9-9897-000d3a38a36f
530,06671b06-ac34-11e9-a2fc-000d3a38a36f
539,06887238-a3ce-11e9-a2fc-000d3a38a36f
558,06cd8bae-9ebd-11e9-9897-000d3a38a36f
563,06ea4252-5b56-11ea-b15d-000d3a38a36f
569,06fa3850-afe5-11e9-9757-000d3a38a36f
573,07117fb0-98b0-11ea-b97a-000d3a38a36f
619,07aaa352-a90f-11e9-a2fc-000d3a38a36f
621,07b1fe32-adfa-11e9-a2fc-000d3a38a36f
628,07c18f50-138a-11ea-a001-000d3a38a36f
648,07f39a76-3e51-11ea-808e-000d3a38a36f
661,08135bac-aa3d-11e9-a2fc-000d3a38a36f
683,086664a4-541b-11ea-b1db-000d3a38a36f
685,086af4ea-2623-11ea-8e1c-000d3a38a36f
689,087cb3de-12cc-11ea-a001-000d3a38a36f
695,08828c30-4bc2-11ea-a626-000d3a38a36f
714,08ce95e8-aac9-11e9-a2fc-000d3a38a36f
715,08d8541a-fd81-11e9-a5e8-000d3a38a36f
717,08db7ac2-5bd8-11ea-96de-000d3a38a36f
719,08dd19e2-aeed-11e9-a2fc-000d3a38a36f
720,08e28e20-5b9c-11ea-a8b9-000d3a38a36f
723,08f073d6-a96e-11e9-a2fc-000d3a38a36f
735,0904db6a-8504-11ea-80af-000d3a38a36f
737,090d6e42-9da6-11e9-9897-000d3a38a36f
743,0925ae66-aef0-11e9-a2fc-000d3a38a36f
746,092f1f16-8e22-11ea-8f41-000d3a38a36f
747,092f2130-1b10-11ea-a050-000d3a38a36f
751,09331eda-ad69-11e9-a2fc-000d3a38a36f
752,093480d8-6243-11ea-9d1a-000d3a38a36f
759,0954c188-5f21-11ea-be5b-000d3a38a36f
763,095b88fc-a0d5-11e9-a2fc-000d3a38a36f
766,0961104a-aa55-11e9-a2fc-000d3a38a36f
775,0978e69c-afba-11e9-9757-000d3a38a36f
